Augmentation,Augmentation Type,Model,Corruption,Severity,Model Accuracy,Class Accuracy
rsmix_test,density,ptv1,density,1,0.9019448946515397,0.8594651162790697
rsmix_test,density,ptv1,density,2,0.9051863857374393,0.8643837209302326
rsmix_test,density,ptv1,density,3,0.8922204213938412,0.8452267441860464
rsmix_test,density,ptv1,density,4,0.8820907617504052,0.8330581395348837
rsmix_test,density,ptv1,density,5,0.8776337115072933,0.8343546511627906
rsmix_test,density,ptv1,density_inc,1,0.896677471636953,0.8478837209302326
rsmix_test,density,ptv1,density_inc,2,0.9043760129659644,0.8560872093023256
rsmix_test,density,ptv1,density_inc,3,0.8987034035656402,0.8492151162790698
rsmix_test,density,ptv1,density_inc,4,0.8946515397082658,0.8465116279069766
rsmix_test,density,ptv1,density_inc,5,0.8849270664505673,0.831813953488372
rsmix_test,transform,ptv1,distortion,1,0.8731766612641815,0.8161744186046512
rsmix_test,transform,ptv1,distortion,2,0.8666936790923825,0.8138488372093022
rsmix_test,transform,ptv1,distortion,3,0.859805510534846,0.8003139534883721
rsmix_test,transform,ptv1,distortion,4,0.8517017828200972,0.7938139534883721
rsmix_test,transform,ptv1,distortion,5,0.8253646677471637,0.7623255813953488
rsmix_test,transform,ptv1,distortion_rbf,1,0.8776337115072933,0.8254244186046511
rsmix_test,transform,ptv1,distortion_rbf,2,0.8743922204213939,0.8184186046511627
rsmix_test,transform,ptv1,distortion_rbf,3,0.8666936790923825,0.8091860465116278
rsmix_test,transform,ptv1,distortion_rbf,4,0.8484602917341977,0.7915639534883722
rsmix_test,transform,ptv1,distortion_rbf,5,0.836709886547812,0.7740697674418604
rsmix_test,transform,ptv1,distortion_rbf_inv,1,0.876418152350081,0.8208372093023255
rsmix_test,transform,ptv1,distortion_rbf_inv,2,0.873581847649919,0.8197209302325582
rsmix_test,transform,ptv1,distortion_rbf_inv,3,0.8715559157212318,0.8148372093023257
rsmix_test,transform,ptv1,distortion_rbf_inv,4,0.856969205834684,0.7983488372093024
rsmix_test,transform,ptv1,distortion_rbf_inv,5,0.8423824959481362,0.7824825581395347
rsmix_test,noise,ptv1,gaussian,1,0.9023500810372771,0.8564651162790697
rsmix_test,noise,ptv1,gaussian,2,0.9003241491085899,0.8514651162790698
rsmix_test,noise,ptv1,gaussian,3,0.899513776337115,0.8411686046511628
rsmix_test,noise,ptv1,gaussian,4,0.8849270664505673,0.8195116279069768
rsmix_test,noise,ptv1,gaussian,5,0.8577795786061588,0.7903081395348838
rsmix_test,noise,ptv1,impulse,1,0.8375202593192869,0.7722151162790698
rsmix_test,noise,ptv1,impulse,2,0.8282009724473258,0.757796511627907
rsmix_test,noise,ptv1,impulse,3,0.8184764991896273,0.7515872093023257
rsmix_test,noise,ptv1,impulse,4,0.7937601296596435,0.719139534883721
rsmix_test,noise,ptv1,impulse,5,0.7423014586709886,0.6407325581395349
rsmix_test,density,ptv1,lidar,1,0.31118314424635335,0.28068023255813956
rsmix_test,density,ptv1,lidar,2,0.34967585089141007,0.3196686046511628
rsmix_test,density,ptv1,lidar,3,0.336709886547812,0.3047848837209302
rsmix_test,density,ptv1,lidar,4,0.27350081037277146,0.24779069767441858
rsmix_test,density,ptv1,lidar,5,0.28282009724473256,0.27332558139534885
rsmix_test,density,ptv1,occlusion,1,0.4339546191247974,0.45920930232558144
rsmix_test,density,ptv1,occlusion,2,0.4837925445705024,0.49553488372093024
rsmix_test,density,ptv1,occlusion,3,0.47974068071312803,0.502156976744186
rsmix_test,density,ptv1,occlusion,4,0.4141004862236629,0.46091279069767443
rsmix_test,density,ptv1,occlusion,5,0.3833063209076175,0.427203488372093
rsmix_test,transform,ptv1,rotation,1,0.8784440842787682,0.826924418604651
rsmix_test,transform,ptv1,rotation,2,0.8715559157212318,0.81225
rsmix_test,transform,ptv1,rotation,3,0.8679092382495948,0.8107558139534884
rsmix_test,transform,ptv1,rotation,4,0.8245542949756888,0.762453488372093
rsmix_test,transform,ptv1,rotation,5,0.6515397082658023,0.607296511627907
rsmix_test,transform,ptv1,shear,1,0.8747974068071313,0.8177965116279069
rsmix_test,transform,ptv1,shear,2,0.8784440842787682,0.8171279069767442
rsmix_test,transform,ptv1,shear,3,0.8654781199351702,0.7980058139534882
rsmix_test,transform,ptv1,shear,4,0.8419773095623987,0.772686046511628
rsmix_test,transform,ptv1,shear,5,0.8087520259319287,0.7353720930232558
rsmix_test,noise,ptv1,uniform,1,0.873581847649919,0.8189244186046511
rsmix_test,noise,ptv1,uniform,2,0.8642625607779578,0.8010058139534884
